"long","lat","2012-01-01","2012-01-09","2012-01-17","2012-01-25","2012-02-02","2012-02-10","2012-02-18","2012-02-26","2012-03-05","2012-03-13","2012-03-21","2012-03-29","2012-04-06","2012-04-14","2012-04-22","2012-04-30","2012-05-08","2012-05-16","2012-05-24","2012-06-01","2012-06-09","2012-06-17","2012-06-25","2012-07-03","2012-07-11","2012-07-19","2012-07-27","2012-08-04","2012-08-12","2012-08-20","2012-08-28","2012-09-05","2012-09-13","2012-09-21","2012-09-29","2012-10-07","2012-10-15","2012-10-23","2012-10-31","2012-11-08","2012-11-16","2012-11-24","2012-12-02","2012-12-10","2012-12-18","2012-12-26"
34.7537048706141,-2.42779183255545,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34.7537310523339,-2.44801171946431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
34.7537574518626,-2.4682315999755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
34.7537840692165,-2.4884514740363,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.753810904412,-2.50867134159399,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
34.7538379574658,-2.52889120259583,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,1,1,1,0,0,NA,NA,1,1,1,1,1,NA,NA,NA,0,0,0,NA
34.7737813161366,-2.40754578443398,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
34.7738075773096,-2.42776545777566,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
34.7738340587688,-2.44798512476616,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.7738607605304,-2.46820478535269,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0
